			Values		
ANO	MES	COD_DS_PROCEDIMENTO	QTD FÍSICO SIH	VL_FINANCEIRO SIH	VL TICKET MÉDIO
2025	01	0201010208-BIOPSIA DE FIGADO EM CUNHA / FRAGMENTO	1	R$ 197,59	R$ 197,59
2025	01	0201010259-BIOPSIA DE LAMINA PEDICULO E PROCESSOS VERTEBRAIS (A CEU ABERTO)	1	R$ 2.276,08	R$ 2.276,08
2025	01	0201010267-BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO)	13	R$ 3.439,84	R$ 264,60
2025	01	0201010313-BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA / CEU ABERTO)	1	R$ 183,39	R$ 183,39
2025	01	0201010321-BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO)	6	R$ 1.253,88	R$ 208,98
2025	01	0201010330-BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO)	1	R$ 188,27	R$ 188,27
2025	01	0301060010-DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA PEDIATRICA	11	R$ 1.289,18	R$ 117,20
2025	01	0301060070-DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA CIRURGICA	22	R$ 1.058,33	R$ 48,11
2025	01	0301060088-DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA	25	R$ 2.125,40	R$ 85,02
2025	01	0303010037-TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS	47	R$ 661.358,32	R$ 14.071,45
2025	01	0303010053-TRATAMENTO DE OUTRAS DOENCAS DEVIDAS A PROTOZOARIOS (B55 A B64)	1	R$ 821,88	R$ 821,88
2025	01	0303010061-TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS	7	R$ 14.738,91	R$ 2.105,56
2025	01	0303010118-TRATAMENTO DE HEPATITES VIRAIS	3	R$ 1.812,63	R$ 604,21
2025	01	0303010126-TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64)	1	R$ 356,21	R$ 356,21
2025	01	0303010134-TRATAMENTO DE INFECCOES VIRAIS CARACTERIZADAS POR LESOES DE PELE E MUCOSAS (B00 A B09)	2	R$ 725,36	R$ 362,68
2025	01	0303010142-TRATAMENTO DE INFECCOES VIRAIS DO SISTEMA NERVOSO CENTRAL	2	R$ 2.059,14	R$ 1.029,57
2025	01	0303010169-TRATAMENTO DE MICOSES (B35 A B49)	1	R$ 5.151,47	R$ 5.151,47
2025	01	0303010193-TRATAMENTO DE OUTRAS DOENCAS CAUSADAS POR VIRUS (B25 A B34)	2	R$ 834,58	R$ 417,29
2025	01	0303010215-TRATAMENTO DE TUBERCULOSE (A15 A A19)	1	R$ 164,92	R$ 164,92
2025	01	0303020032-TRATAMENTO DE ANEMIA APLASTICA E OUTRAS ANEMIAS	5	R$ 24.635,16	R$ 4.927,03
2025	01	0303020040-TRATAMENTO DE ANEMIA HEMOLITICA	18	R$ 6.503,41	R$ 361,30
2025	01	0303020059-TRATAMENTO DE ANEMIAS NUTRICIONAIS	2	R$ 1.166,37	R$ 583,19
2025	01	0303020067-TRATAMENTO DE DEFEITOS DA COAGULACAO PURPURA E OUTRAS AFECCOES HEMORRAGICAS	7	R$ 9.683,14	R$ 1.383,31
2025	01	0303020075-TRATAMENTO DE HEMOFILIAS	1	R$ 929,05	R$ 929,05
2025	01	0303020083-TRATAMENTO DE OUTRAS DOENCAS DO SANGUE E DOS ORGAOS HEMATOPOIETICOS	4	R$ 7.012,33	R$ 1.753,08
2025	01	0303030011-TRATAMENTO DA FIBROSE CISTICA	1	R$ 1.123,48	R$ 1.123,48
2025	01	0303030020-TRATAMENTO DE DESNUTRICAO	1	R$ 1.142,96	R$ 1.142,96
2025	01	0303030038-TRATAMENTO DE DIABETES MELLITUS	9	R$ 11.206,17	R$ 1.245,13
2025	01	0303030046-TRATAMENTO DE DISTURBIOS METABOLICOS	9	R$ 5.459,72	R$ 606,64
2025	01	0303030062-TRATAMENTO DE TRANSTORNOS DE OUTRAS GLANDULAS ENDOCRINAS	4	R$ 1.731,53	R$ 432,88
2025	01	0303040017-AJUSTE MEDICAMENTOSO DE SITUACOES NEUROLOGICAS AGUDIZADAS	8	R$ 10.750,96	R$ 1.343,87
2025	01	0303040033-TRATAMENTO DA MIGRANEA COMPLICADA	4	R$ 466,84	R$ 116,71
2025	01	0303040068-TRATAMENTO CONSERVADOR DA DOR REBELDE DE ORIGEM CENTRAL OU NEOPLASICA	3	R$ 4.208,62	R$ 1.402,87
2025	01	0303040076-TRATAMENTO CONSERVADOR DA HEMORRAGIA CEREBRAL	4	R$ 35.785,61	R$ 8.946,40
2025	01	0303040084-TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO (GRAU LEVE)	9	R$ 2.935,82	R$ 326,20
2025	01	0303040092-TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO (GRAU MEDIO)	7	R$ 28.174,41	R$ 4.024,92
2025	01	0303040106-TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO GRAVE	1	R$ 1.817,48	R$ 1.817,48
2025	01	0303040122-TRATAMENTO CONSERVADOR DE TUMOR DO SISTEMA NERVOSO CENTRAL	2	R$ 1.645,83	R$ 822,92
2025	01	0303040149-TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)	14	R$ 27.824,34	R$ 1.987,45
2025	01	0303040165-TRATAMENTO DE CRISES EPILETICAS NAO CONTROLADAS	11	R$ 54.616,28	R$ 4.965,12
2025	01	0303040190-TRATAMENTO DE DOENCA DOS NEURONIOS MOTORES CENTRAIS C/ OU S/ AMIOTROFIAS	4	R$ 21.907,81	R$ 5.476,95
2025	01	0303040203-TRATAMENTO DE DOENCAS NEURODEGENERATIVAS	1	R$ 749,79	R$ 749,79
2025	01	0303040254-TRATAMENTO DE MIASTENIA GRAVE	1	R$ 10.161,06	R$ 10.161,06
2025	01	0303040262-TRATAMENTO DE POLINEUROPATIAS	1	R$ 2.802,81	R$ 2.802,81
2025	01	0303040270-TRATAMENTO DE POLIRRADICULONEURITE DESMIELINIZANTE AGUDA	2	R$ 3.962,92	R$ 1.981,46
2025	01	0303040289-TRATAMENTO DE SURTO DE ESCLEROSE MULTIPLA	5	R$ 2.344,30	R$ 468,86
2025	01	0303040297-TRATAMENTO DE PROCESSO TOXI-INFECCIOSO DO CEREBRO OU DA MEDULA ESPINHAL	2	R$ 4.181,11	R$ 2.090,56
2025	01	0303040300-TRATAMENTO DO ACIDENTE VASCULAR CEREBRAL ISQUEMICO AGUDO COM USO DE TROMBOLITICO	3	R$ 21.159,36	R$ 7.053,12
2025	01	0303050136-TRATAMENTO CLINICO DE INTERCORRENCIAS OFTALMOLOGICAS	18	R$ 8.137,05	R$ 452,06
2025	01	0303060018-TRATAMENTO DE ANEURISMA DA AORTA	1	R$ 3.652,89	R$ 3.652,89
2025	01	0303060026-TRATAMENTO DE ARRITMIAS	5	R$ 25.440,45	R$ 5.088,09
2025	01	0303060042-TRATAMENTO DE CARDIOPATIA ISQUEMICA CRONICA	1	R$ 1.690,10	R$ 1.690,10
2025	01	0303060107-TRATAMENTO DE CRISE HIPERTENSIVA	13	R$ 6.978,12	R$ 536,78
2025	01	0303060131-TRATAMENTO DE EDEMA AGUDO DE PULMAO	1	R$ 13.497,25	R$ 13.497,25
2025	01	0303060140-TRATAMENTO DE EMBOLIA PULMONAR	6	R$ 19.863,99	R$ 3.310,67
2025	01	0303060174-TRATAMENTO DE HIPERTENSAO PULMONAR	2	R$ 24.257,35	R$ 12.128,68
2025	01	0303060190-TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO	27	R$ 79.137,25	R$ 2.931,01
2025	01	0303060204-TRATAMENTO DE INSUFICIENCIA ARTERIAL C/ ISQUEMIA CRITICA	1	R$ 6.190,15	R$ 6.190,15
2025	01	0303060212-TRATAMENTO DE INSUFICIENCIA CARDIACA	5	R$ 19.167,03	R$ 3.833,41
2025	01	0303060220-TRATAMENTO DE LINFADENITES INESPECIFICAS	1	R$ 858,27	R$ 858,27
2025	01	0303060255-TRATAMENTO DE PARADA CARDIACA C/ RESSUSCITACAO	1	R$ 326,43	R$ 326,43
2025	01	0303060280-TRATAMENTO DE SINDROME CORONARIANA AGUDA	6	R$ 9.930,09	R$ 1.655,02
2025	01	0303070064-TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO	4	R$ 1.697,08	R$ 424,27
2025	01	0303070072-TRATAMENTO DE DOENCAS DO FIGADO	11	R$ 43.740,77	R$ 3.976,43
2025	01	0303070099-TRATAMENTO DE ENTERITES E COLITES NAO INFECCIOSAS	4	R$ 1.464,44	R$ 366,11
2025	01	0303070102-TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO	47	R$ 32.227,30	R$ 685,69
2025	01	0303070110-TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO	8	R$ 2.890,72	R$ 361,34
2025	01	0303070129-TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS	9	R$ 7.065,05	R$ 785,01
2025	01	0303080043-TRATAMENTO DE AFECCOES BOLHOSAS	1	R$ 186,16	R$ 186,16
2025	01	0303080051-TRATAMENTO DE DERMATITES E ECZEMAS	4	R$ 2.211,60	R$ 552,90
2025	01	0303080060-TRATAMENTO DE ESTAFILOCOCCIAS	14	R$ 6.709,05	R$ 479,22
2025	01	0303080078-TRATAMENTO DE ESTREPTOCOCCIAS	2	R$ 1.009,86	R$ 504,93
2025	01	0303080086-TRATAMENTO DE FARMACODERMIAS	1	R$ 322,56	R$ 322,56
2025	01	0303080094-TRATAMENTO DE OUTRAS AFECCOES DA PELE E DO TECIDO SUBCUTANEO	1	R$ 227,27	R$ 227,27
2025	01	0303090235-TRATAMENTO CONSERVADOR DE LESAO DA COLUNA TORACO-LOMBO-SACRA C/ ORTESE	1	R$ 285,49	R$ 285,49
2025	01	0303090316-TRATAMENTO DAS POLIARTROPATIAS INFLAMATORIAS	4	R$ 10.143,87	R$ 2.535,97
2025	01	0303100010-TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO	1	R$ 231,44	R$ 231,44
2025	01	0303100044-TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ	12	R$ 2.535,15	R$ 211,26
2025	01	0303110015-TRATAMENTO DAS MALFORMACOES E DEFORMIDADES CONGENITAS DO SISTEMA OSTEOMUSCULAR	1	R$ 487,95	R$ 487,95
2025	01	0303110040-TRATAMENTO DE MALFORMACOES CONGENITAS DO APARELHO CIRCULATORIO	2	R$ 8.173,43	R$ 4.086,72
2025	01	0303110066-TRATAMENTO DE MALFORMACOES CONGENITAS DO APARELHO URINARIO	1	R$ 477,23	R$ 477,23
2025	01	0303130016-ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS DEVIDO A CAUSAS EXTERNAS	5	R$ 13.667,28	R$ 2.733,46
2025	01	0303130024-ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES CARDIOVASCULARES	5	R$ 674,64	R$ 134,93
2025	01	0303130032-ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES PNEUMOLOGICAS	3	R$ 1.201,86	R$ 400,62
2025	01	0303130059-TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES NEUROLOGICAS	23	R$ 48.061,57	R$ 2.089,63
2025	01	0303130067-TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES ONCOLOGICAS	2	R$ 2.323,34	R$ 1.161,67
2025	01	0303130075-TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES OSTEOMUSCULARES E DO TECIDO CONJUNTIVO	2	R$ 1.451,08	R$ 725,54
2025	01	0303140020-TRATAMENTO DA FIBROSE CISTICA COM MANIFESTACOES PULMONARES	2	R$ 1.996,06	R$ 998,03
2025	01	0303140046-TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES	12	R$ 11.773,34	R$ 981,11
2025	01	0303140070-TRATAMENTO DE DOENCA DO OUVIDO EXTERNO MEDIO E DA MASTOIDE	4	R$ 662,86	R$ 165,72
2025	01	0303140097-TRATAMENTO DE HEMORRAGIAS DAS VIAS RESPIRATORIAS	2	R$ 793,30	R$ 396,65
2025	01	0303140100-TRATAMENTO DE INFECCOES AGUDAS DAS VIAS AEREAS SUPERIORES	5	R$ 4.338,89	R$ 867,78
2025	01	0303140119-TRATAMENTO DE OUTRAS DOENCAS DA PLEURA	4	R$ 2.631,73	R$ 657,93
2025	01	0303140127-TRATAMENTO DE OUTRAS DOENCAS DAS VIAS AEREAS SUPERIORES	1	R$ 217,84	R$ 217,84
